,ID,distB,distC,distG,distH,distO,distS,ddistB,ddistC,dddistG,ddistH,ddistO,ddistS,groupIC,GridX,GridY,viewIC,scalefactor,sdB,sdC,sdG,sdH,sdO,sdS,TotDist
STATE_80000,STATE_80000,0.06710939464985655,0.06710939464985655,0.07934366981760857,0.07088094074730525,0.10287639014581393,0.13380594194530163,0,0,0,0,0,0,I,9,4,3,1,0,0,0,0,0,0,0.5211257319557424
STATE_82000,STATE_82000,0.07034910313633466,0.07034910313633466,0.08169963287911512,0.07239716561334679,0.1032041288508689,0.12476718409146129,0,0,0,0,0,0,I,10,4,3,1,0,0,0,0,0,0,0.5227663177074614
STATE_63000,STATE_63000,0.06723412854886811,0.06723412854886811,0.0799220379802301,0.07171094975653133,0.10329211611637286,0.13372173713061747,0,0,0,0,0,0,I,1,5,3,1,0,0,0,0,0,0,0.5231150980814879
STATE_57000,STATE_57000,0.06917938714283575,0.06917938714283575,0.08267821026387744,0.07321798770436563,0.09977152454370905,0.12943166995669314,0,0,0,0,0,0,I,2,5,3,1,0,0,0,0,0,0,0.5234581667543168
STATE_78000,STATE_78000,0.06995530976837486,0.06995530976837486,0.07756852275143702,0.07263853120216873,0.10508592426208016,0.12963135326531794,0,0,0,0,0,0,I,3,5,3,1,0,0,0,0,0,0,0.5248349510177536
STATE_27000,STATE_27000,0.07057243643707692,0.07057243643707692,0.08438691574603123,0.07419949266298678,0.10195547416522857,0.1242229445967287,0,0,0,0,0,0,I,4,5,3,1,0,0,0,0,0,0,0.525909700045129
STATE_79000,STATE_79000,0.06820815865722094,0.06820815865722094,0.0825430342530727,0.06993761160489888,0.11138929187403908,0.1277324156525145,0,0,0,0,0,0,I,5,5,3,1,0,0,0,0,0,0,0.528018670698967
STATE_10000,STATE_10000,0.06826059331566209,0.06826059331566209,0.08236464513325949,0.07197809919693564,0.1082323814404265,0.12983765780251805,0,0,0,0,0,0,I,6,5,3,1,0,0,0,0,0,0,0.5289339702044639
STATE_26000,STATE_26000,0.0711024090503777,0.0711024090503777,0.08517723209968323,0.07622275972480544,0.10696703575242303,0.1188687028482491,0,0,0,0,0,0,I,7,5,3,1,0,0,0,0,0,0,0.5294405485259163
STATE_29000,STATE_29000,0.06960127634924122,0.06960127634924122,0.07785576490737431,0.07248179409394948,0.11836877432443496,0.12188309520682257,0,0,0,0,0,0,I,8,5,3,1,0,0,0,0,0,0,0.5297919812310637
STATE_5000,STATE_5000,0.07021486642964384,0.07021486642964384,0.0871129947386214,0.07428116530843912,0.11226158555341068,0.11643167472907734,0,0,0,0,0,0,I,9,5,3,1,0,0,0,0,0,0,0.5305171531888362
STATE_89000,STATE_89000,0.07045159654314417,0.07045159654314417,0.08745873894996814,0.07581095212669549,0.10573225320536721,0.12169954124915967,0,0,0,0,0,0,I,10,5,3,1,0,0,0,0,0,0,0.5316046786174788
STATE_72000,STATE_72000,0.0698794350583291,0.0698794350583291,0.0854488068734864,0.07269932935512673,0.11238009581384918,0.12376634072505743,0,0,0,0,0,0,I,1,6,3,1,0,0,0,0,0,0,0.5340534428841779
STATE_0,STATE_0,0.07122155155169915,0.07122155155169915,0.08395531884148769,0.07514576865284868,0.1038507594825262,0.13142278790486078,0,0,0,0,0,0,I,2,6,3,1,0,0,0,0,0,0,0.5368177379851217
STATE_16000,STATE_16000,0.07701831081467475,0.07701831081467475,0.08433398330552516,0.08108049695272014,0.10458820519091883,0.11280385242246309,0,0,0,0,0,0,I,3,6,3,1,0,0,0,0,0,0,0.5368431595009767
STATE_40000,STATE_40000,0.07153734941637127,0.07153734941637127,0.09071047540523434,0.07592791825296569,0.10414349288277838,0.12357208696881357,0,0,0,0,0,0,I,4,6,3,1,0,0,0,0,0,0,0.5374286723425346
STATE_46000,STATE_46000,0.0707639465097788,0.0707639465097788,0.07966250230766617,0.07525401409032441,0.10482310946654874,0.1367030190972286,0,0,0,0,0,0,I,5,6,3,1,0,0,0,0,0,0,0.5379705379813255
STATE_11000,STATE_11000,0.07158270080564419,0.07158270080564419,0.08422039848935371,0.07586816276760275,0.11757454710617496,0.12234493573785846,0,0,0,0,0,0,I,6,6,3,1,0,0,0,0,0,0,0.5431734457122782
STATE_2000,STATE_2000,0.07103271612347913,0.07103271612347913,0.0836722568157313,0.07354510182145657,0.1088367039933729,0.13506363938416194,0,0,0,0,0,0,I,7,6,3,1,0,0,0,0,0,0,0.543183134261681
STATE_1000,STATE_1000,0.07318470023517715,0.07318470023517715,0.08636969711597227,0.07713141210485899,0.11144297447489906,0.12296686205650709,0,0,0,0,0,0,I,8,6,3,1,0,0,0,0,0,0,0.5442803462225917
STATE_73000,STATE_73000,0.07134124899368073,0.07134124899368073,0.08972032106068109,0.07505209421651463,0.11194007233177031,0.12523899518699175,0,0,0,0,0,0,I,9,6,3,1,0,0,0,0,0,0,0.5446339807833193
STATE_87000,STATE_87000,0.07154829211912199,0.07154829211912199,0.08201682208454406,0.0773915996955186,0.12162895192689276,0.12163043837236812,0,0,0,0,0,0,I,10,6,3,1,0,0,0,0,0,0,0.5457643963175676
STATE_44000,STATE_44000,0.07289236310211403,0.07289236310211403,0.08546020194333645,0.07963384325188488,0.1139269681593376,0.12109859809881023,0,0,0,0,0,0,I,1,7,3,1,0,0,0,0,0,0,0.5459043376575973
STATE_36000,STATE_36000,0.0745026702097098,0.0745026702097098,0.0835900992239387,0.07840986967866748,0.10623779440027499,0.12893800704996633,0,0,0,0,0,0,I,2,7,3,1,0,0,0,0,0,0,0.546181110772267
STATE_59000,STATE_59000,0.0720973468609619,0.0720973468609619,0.08650181216208848,0.07783557228673302,0.11320183477928288,0.12712580023212464,0,0,0,0,0,0,I,3,7,3,1,0,0,0,0,0,0,0.5488597131821529
STATE_34000,STATE_34000,0.07246086329793533,0.07246086329793533,0.09106067921400783,0.07561246847072832,0.10389922197233958,0.13469363306965026,0,0,0,0,0,0,I,4,7,3,1,0,0,0,0,0,0,0.5501877293225967
STATE_4000,STATE_4000,0.07629955674664392,0.07629955674664392,0.08732431664559451,0.08276310274522897,0.11225958064670918,0.11601277684910745,0,0,0,0,0,0,I,5,7,3,1,0,0,0,0,0,0,0.550958890379928
STATE_47000,STATE_47000,0.07211664031733869,0.07211664031733869,0.0835396038405862,0.07618493826386766,0.10366328587647107,0.1436873211630446,0,0,0,0,0,0,I,6,7,3,1,0,0,0,0,0,0,0.5513084297786469
STATE_7000,STATE_7000,0.07230178798654943,0.07230178798654943,0.08579445646815718,0.07797568910242071,0.1111232737291283,0.1319926062925008,0,0,0,0,0,0,I,7,7,3,1,0,0,0,0,0,0,0.5514896015653059
STATE_66000,STATE_66000,0.07247686858627218,0.07247686858627218,0.09067101893837307,0.07768800908202292,0.10991452303839548,0.12851760784299088,0,0,0,0,0,0,I,8,7,3,1,0,0,0,0,0,0,0.5517448960743268
STATE_98000,STATE_98000,0.07352401265908523,0.07352401265908523,0.08745161913707737,0.08156642480026499,0.11516166859715031,0.12303603915020025,0,0,0,0,0,0,I,9,7,3,1,0,0,0,0,0,0,0.5542637770028634
STATE_99000,STATE_99000,0.07348522535077551,0.07348522535077551,0.09115753806056814,0.07818423449431193,0.11099359318990756,0.12768395206807406,0,0,0,0,0,0,I,10,7,3,1,0,0,0,0,0,0,0.5549897685144127
STATE_56000,STATE_56000,0.07201540043789646,0.07201540043789646,0.08630883149371096,0.07596349239409521,0.12080017347397336,0.1290103538728006,0,0,0,0,0,0,I,1,8,3,1,0,0,0,0,0,0,0.5561136521103731
STATE_71000,STATE_71000,0.0745478951330738,0.0745478951330738,0.08542466018827917,0.07897811690799938,0.10419644024938875,0.14014197661696223,0,0,0,0,0,0,I,2,8,3,1,0,0,0,0,0,0,0.5578369842287771
STATE_17000,STATE_17000,0.07352307988899368,0.07352307988899368,0.09087298183229119,0.07773552422519836,0.10987317334190086,0.1346442614734376,0,0,0,0,0,0,I,3,8,3,1,0,0,0,0,0,0,0.5601721006508154
STATE_38000,STATE_38000,0.07330320236446494,0.07330320236446494,0.09096951671213419,0.07745391044858022,0.11197954149016157,0.13373994203540926,0,0,0,0,0,0,I,4,8,3,1,0,0,0,0,0,0,0.5607493154152151
STATE_75000,STATE_75000,0.0734336022557452,0.0734336022557452,0.08801045566112668,0.07642922137702754,0.12143002590076488,0.128248405532716,0,0,0,0,0,0,I,5,8,3,1,0,0,0,0,0,0,0.5609853129831255
STATE_20000,STATE_20000,0.07402034394388894,0.07402034394388894,0.09014697285628523,0.07696582240441499,0.11744509543554446,0.13066780422761995,0,0,0,0,0,0,I,6,8,3,1,0,0,0,0,0,0,0.5632663828116425
STATE_55000,STATE_55000,0.07604223363071543,0.07604223363071543,0.09436596625567979,0.07890789006156111,0.11378140508343142,0.12612556687135626,0,0,0,0,0,0,I,7,8,3,1,0,0,0,0,0,0,0.5652652955334595
STATE_21000,STATE_21000,0.07454730530142535,0.07454730530142535,0.08561605494145448,0.07823253725417334,0.11430854780283647,0.13840641069361778,0,0,0,0,0,0,I,8,8,3,1,0,0,0,0,0,0,0.5656581612949328
STATE_45000,STATE_45000,0.07430351982964159,0.07430351982964159,0.08526839132910545,0.07759297196438637,0.11139018196418475,0.1442167470392512,0,0,0,0,0,0,I,9,8,3,1,0,0,0,0,0,0,0.567075331956211
STATE_81000,STATE_81000,0.0739346457706849,0.0739346457706849,0.0883658254859399,0.07770160015578102,0.11180681228589921,0.14643840069987862,0,0,0,0,0,0,I,10,8,3,1,0,0,0,0,0,0,0.5721819301688686
STATE_51000,STATE_51000,0.07570561117466809,0.07570561117466809,0.08336348794538975,0.08051143428776741,0.12511329358610185,0.13222002289729962,0,0,0,0,0,0,I,1,9,3,1,0,0,0,0,0,0,0.5726194610658948
STATE_69000,STATE_69000,0.0765978466227685,0.0765978466227685,0.09183488173476011,0.07897238302373452,0.11387938573011455,0.13868707502610175,0,0,0,0,0,0,I,2,9,3,1,0,0,0,0,0,0,0.576569418760248
STATE_76000,STATE_76000,0.07560012877253368,0.07560012877253368,0.08829154041018311,0.07939886426193657,0.11538186814035259,0.14280521064123058,0,0,0,0,0,0,I,3,9,3,1,0,0,0,0,0,0,0.5770777409987702
STATE_90000,STATE_90000,0.07652464499130779,0.07652464499130779,0.08782360569468937,0.08208677146961649,0.10996487769415367,0.15039443592064367,0,0,0,0,0,0,I,4,9,3,1,0,0,0,0,0,0,0.5833189807617187
STATE_94000,STATE_94000,0.07635785259324146,0.07635785259324146,0.0907138968149726,0.08075858334900834,0.12019224647601696,0.13904825340760507,0,0,0,0,0,0,I,5,9,3,1,0,0,0,0,0,0,0.583428685234086
STATE_91000,STATE_91000,0.07699072935154574,0.07699072935154574,0.08769581103759887,0.08111928834145214,0.11614307513136782,0.14515280363463068,0,0,0,0,0,0,I,6,9,3,1,0,0,0,0,0,0,0.584092436848141
STATE_22000,STATE_22000,0.07905228782945678,0.07905228782945678,0.09275727973563533,0.08063351329938354,0.12168944812429947,0.1332009886749425,0,0,0,0,0,0,I,7,9,3,1,0,0,0,0,0,0,0.5863858054931743
STATE_13000,STATE_13000,0.0775296201380031,0.0775296201380031,0.09292220904959417,0.08104939106602359,0.12243815270444132,0.13539263806755325,0,0,0,0,0,0,I,8,9,3,1,0,0,0,0,0,0,0.5868616311636186
STATE_88000,STATE_88000,0.07815509216841043,0.07815509216841043,0.09388701404122993,0.08452069989533006,0.11608535757352398,0.1390556508987757,0,0,0,0,0,0,I,9,9,3,1,0,0,0,0,0,0,0.5898589067456805
STATE_52000,STATE_52000,0.077617021509482,0.077617021509482,0.09372458902488279,0.08190895389671529,0.11154643751668743,0.14748758845308282,0,0,0,0,0,0,I,10,9,3,1,0,0,0,0,0,0,0.5899016119103323
STATE_33000,STATE_33000,0.07826006437939277,0.07826006437939277,0.09328338906351685,0.08284621133783528,0.12121948975759496,0.13674665084604476,0,0,0,0,0,0,I,1,10,3,1,0,0,0,0,0,0,0.5906158697637773
STATE_85000,STATE_85000,0.07969911719776665,0.07969911719776665,0.09719204849287504,0.0843450279965741,0.11781960654903863,0.1320048462126785,0,0,0,0,0,0,I,2,10,3,1,0,0,0,0,0,0,0.5907597636466996
